date,ticker,marketcap
2019-08-30,FORM,1284.9
2019-08-29,FORM,1278.9
2019-08-28,FORM,1263.1
2019-08-27,FORM,1233.0
2019-08-26,FORM,1249.6
2019-08-23,FORM,1225.5
2019-08-22,FORM,1284.9
2019-08-21,FORM,1293.2
2019-08-20,FORM,1286.4
2019-08-19,FORM,1290.9
2019-08-16,FORM,1293.9
2019-08-15,FORM,1254.1
2019-08-14,FORM,1260.9
2019-08-13,FORM,1278.9
2019-08-12,FORM,1260.1
2019-08-09,FORM,1251.1
2019-08-08,FORM,1284.2
2019-08-07,FORM,1249.6
2019-08-06,FORM,1272.1
2019-08-05,FORM,1258.2
2019-08-02,FORM,1311.1
2019-08-01,FORM,1340.2
2019-07-31,FORM,1251.5
2019-07-30,FORM,1254.5
2019-07-29,FORM,1230.6
2019-07-26,FORM,1231.3
2019-07-25,FORM,1228.4
2019-07-24,FORM,1265.6
2019-07-23,FORM,1214.9
2019-07-22,FORM,1179.1
2019-07-19,FORM,1146.3
2019-07-18,FORM,1155.3
2019-07-17,FORM,1143.3
2019-07-16,FORM,1133.6
2019-07-15,FORM,1152.3
2019-07-12,FORM,1155.3
2019-07-11,FORM,1138.1
2019-07-10,FORM,1145.6
2019-07-09,FORM,1123.9
2019-07-08,FORM,1165.7
2019-07-05,FORM,1177.6
2019-07-03,FORM,1183.6
2019-07-02,FORM,1182.9
2019-07-01,FORM,1197.0
2019-06-28,FORM,1168.7
2019-06-27,FORM,1147.8
2019-06-26,FORM,1109.8
2019-06-25,FORM,1072.5
2019-06-24,FORM,1078.4
2019-06-21,FORM,1090.4
2019-06-20,FORM,1097.8
2019-06-19,FORM,1097.8
2019-06-18,FORM,1096.3
2019-06-17,FORM,1073.2
2019-06-14,FORM,1082.2
2019-06-13,FORM,1131.4
2019-06-12,FORM,1109.0
2019-06-11,FORM,1161.2
2019-06-10,FORM,1149.3
2019-06-07,FORM,1101.6
2019-06-06,FORM,1099.3
2019-06-05,FORM,1091.9
2019-06-04,FORM,1102.3
2019-06-03,FORM,1065.0
2019-05-31,FORM,1071.0
2019-05-30,FORM,1080.7
2019-05-29,FORM,1079.2
2019-05-28,FORM,1082.2
2019-05-24,FORM,1088.9
2019-05-23,FORM,1094.9
2019-05-22,FORM,1121.7
2019-05-21,FORM,1159.7
2019-05-20,FORM,1141.1
2019-05-17,FORM,1172.4
2019-05-16,FORM,1217.2
2019-05-15,FORM,1222.4
2019-05-14,FORM,1210.5
2019-05-13,FORM,1165.7
2019-05-10,FORM,1246.3
2019-05-09,FORM,1249.2
2019-05-08,FORM,1287.3
2019-05-07,FORM,1318.6
2019-05-06,FORM,1318.3
2019-05-03,FORM,1354.0
2019-05-02,FORM,1260.9
2019-05-01,FORM,1393.5
2019-04-30,FORM,1411.4
2019-04-29,FORM,1369.7
2019-04-26,FORM,1369.7
2019-04-25,FORM,1367.4
2019-04-24,FORM,1392.0
2019-04-23,FORM,1379.3
2019-04-22,FORM,1359.2
2019-04-18,FORM,1363.0
2019-04-17,FORM,1364.4
2019-04-16,FORM,1381.6
2019-04-15,FORM,1374.1
2019-04-12,FORM,1379.3
2019-04-11,FORM,1376.4
2019-04-10,FORM,1366.7
2019-04-09,FORM,1337.6
2019-04-08,FORM,1340.6
2019-04-05,FORM,1325.7
2019-04-04,FORM,1301.1
2019-04-03,FORM,1302.6
2019-04-02,FORM,1264.6
2019-04-01,FORM,1260.2
2019-03-29,FORM,1198.4
2019-03-28,FORM,1164.8
2019-03-27,FORM,1159.6
2019-03-26,FORM,1179.7
2019-03-25,FORM,1172.3
2019-03-22,FORM,1174.5
2019-03-21,FORM,1219.2
2019-03-20,FORM,1173.8
2019-03-19,FORM,1182.7
2019-03-18,FORM,1162.6
2019-03-15,FORM,1168.6
2019-03-14,FORM,1145.5
2019-03-13,FORM,1148.5
2019-03-12,FORM,1144.7
2019-03-11,FORM,1149.2
2024-03-12,GHM,265.7
2024-03-11,GHM,260.4
2024-03-08,GHM,264.0
2024-03-07,GHM,265.1
2024-03-06,GHM,258.8
2024-03-05,GHM,258.6
2024-03-04,GHM,255.4
2024-03-01,GHM,256.7
2024-02-29,GHM,256.5
